rule,normalized_support
thalachcp >= 110.0,0.9924812030075189
oldpeakcp < 2.3499999999999996,0.9924812030075189
thalachcp >= 110.0 & oldpeakcp < 2.3499999999999996,0.9849624060150376
thalcp >= 1.5,0.962406015037594
agecp >= 37.5 & oldpeakcp < 2.3499999999999996,0.9548872180451128
agecp >= 37.5,0.9548872180451128
thalcp >= 1.5 & thalachcp >= 110.0,0.9548872180451128
thalcp >= 1.5 & oldpeakcp < 2.3499999999999996,0.9548872180451128
agecp >= 37.5 & thalachcp >= 110.0 & oldpeakcp < 2.3499999999999996,0.9473684210526316
agecp >= 37.5 & thalachcp >= 110.0,0.9473684210526316
thalcp >= 1.5 & thalachcp >= 110.0 & oldpeakcp < 2.3499999999999996,0.9473684210526316
agecp >= 37.5 & thalcp >= 1.5 & oldpeakcp < 2.3499999999999996,0.9172932330827068
agecp >= 37.5 & thalcp >= 1.5,0.9172932330827068
agecp >= 37.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.9097744360902256
agecp >= 37.5 & thalcp >= 1.5 & thalachcp >= 110.0 & oldpeakcp < 2.3499999999999996,0.9097744360902256
exangcp < 0.5,0.8721804511278195
exangcp < 0.5 & oldpeakcp < 2.3499999999999996,0.8646616541353384
thalachcp >= 110.0 & exangcp < 0.5,0.8646616541353384
thalachcp >= 110.0 & exangcp < 0.5 & oldpeakcp < 2.3499999999999996,0.8571428571428571
thalcp >= 1.5 & exangcp < 0.5,0.8421052631578947
thalcp < 2.5,0.8345864661654135
thalcp >= 1.5 & exangcp < 0.5 & oldpeakcp < 2.3499999999999996,0.8345864661654135
thalcp >= 1.5 & thalachcp >= 110.0 & exangcp < 0.5,0.8345864661654135
thalcp >= 1.5 & thalachcp >= 110.0 & exangcp < 0.5 & oldpeakcp < 2.3499999999999996,0.8270676691729323
agecp >= 37.5 & exangcp < 0.5 & oldpeakcp < 2.3499999999999996,0.8270676691729323
thalachcp >= 110.0 & thalcp < 2.5,0.8270676691729323
agecp >= 37.5 & exangcp < 0.5,0.8270676691729323
thalcp < 2.5 & oldpeakcp < 2.3499999999999996,0.8270676691729323
thalachcp >= 110.0 & thalcp < 2.5 & oldpeakcp < 2.3499999999999996,0.8195488721804511
agecp >= 37.5 & thalachcp >= 110.0 & exangcp < 0.5,0.8195488721804511
agecp >= 37.5 & thalachcp >= 110.0 & exangcp < 0.5 & oldpeakcp < 2.3499999999999996,0.8195488721804511
cacp < 0.5,0.8045112781954887
thalcp >= 1.5 & thalcp < 2.5,0.7969924812030075
thalachcp >= 110.0 & cacp < 0.5,0.7969924812030075
agecp >= 37.5 & thalcp >= 1.5 & exangcp < 0.5,0.7969924812030075
cacp < 0.5 & oldpeakcp < 2.3499999999999996,0.7969924812030075
agecp >= 37.5 & thalcp >= 1.5 & exangcp < 0.5 & oldpeakcp < 2.3499999999999996,0.7969924812030075
thalachcp >= 110.0 & cacp < 0.5 & oldpeakcp < 2.3499999999999996,0.7894736842105263
agecp >= 37.5 & thalcp >= 1.5 & thalachcp >= 110.0 & exangcp < 0.5 & oldpeakcp < 2.3499999999999996,0.7894736842105263
thalcp >= 1.5 & thalachcp >= 110.0 & thalcp < 2.5,0.7894736842105263
agecp >= 37.5 & thalcp < 2.5 & oldpeakcp < 2.3499999999999996,0.7894736842105263
agecp >= 37.5 & thalcp >= 1.5 & thalachcp >= 110.0 & exangcp < 0.5,0.7894736842105263
thalcp >= 1.5 & thalcp < 2.5 & oldpeakcp < 2.3499999999999996,0.7894736842105263
agecp >= 37.5 & thalcp < 2.5,0.7894736842105263
thalcp >= 1.5 & thalachcp >= 110.0 & thalcp < 2.5 & oldpeakcp < 2.3499999999999996,0.7819548872180451
agecp >= 37.5 & thalachcp >= 110.0 & thalcp < 2.5 & oldpeakcp < 2.3499999999999996,0.7819548872180451
agecp >= 37.5 & thalachcp >= 110.0 & thalcp < 2.5,0.7819548872180451
cholcp < 272.5,0.7744360902255639
cholcp < 272.5 & oldpeakcp < 2.3499999999999996,0.7669172932330827
thalachcp >= 110.0 & cholcp < 272.5,0.7669172932330827
thalcp >= 1.5 & cacp < 0.5,0.7669172932330827
agecp >= 37.5 & cacp < 0.5 & oldpeakcp < 2.3499999999999996,0.7593984962406015
agecp >= 37.5 & cacp < 0.5,0.7593984962406015
comcp >= 0.5,0.7593984962406015
thalachcp >= 110.0 & cholcp < 272.5 & oldpeakcp < 2.3499999999999996,0.7593984962406015
thalcp >= 1.5 & cacp < 0.5 & oldpeakcp < 2.3499999999999996,0.7593984962406015
thalcp >= 1.5 & thalachcp >= 110.0 & cacp < 0.5,0.7593984962406015
agecp >= 37.5 & thalcp >= 1.5 & thalcp < 2.5 & oldpeakcp < 2.3499999999999996,0.7518796992481203
agecp >= 37.5 & thalcp >= 1.5 & thalcp < 2.5,0.7518796992481203
comcp >= 0.5 & thalachcp >= 110.0,0.7518796992481203
agecp >= 37.5 & thalachcp >= 110.0 & cacp < 0.5,0.7518796992481203
thalcp >= 1.5 & thalachcp >= 110.0 & cacp < 0.5 & oldpeakcp < 2.3499999999999996,0.7518796992481203
comcp >= 0.5 & oldpeakcp < 2.3499999999999996,0.7518796992481203
agecp >= 37.5 & thalachcp >= 110.0 & cacp < 0.5 & oldpeakcp < 2.3499999999999996,0.7518796992481203
agecp >= 37.5 & thalcp >= 1.5 & thalachcp >= 110.0 & thalcp < 2.5 & oldpeakcp < 2.3499999999999996,0.7443609022556391
comcp >= 0.5 & thalachcp >= 110.0 & oldpeakcp < 2.3499999999999996,0.7443609022556391
agecp >= 37.5 & thalcp >= 1.5 & thalachcp >= 110.0 & thalcp < 2.5,0.7443609022556391
thalcp >= 1.5 & cholcp < 272.5,0.7368421052631579
thalcp < 2.5 & exangcp < 0.5,0.7368421052631579
comcp >= 0.5 & thalcp >= 1.5,0.7368421052631579
comcp >= 0.5 & thalcp >= 1.5 & oldpeakcp < 2.3499999999999996,0.7293233082706767
thalachcp >= 110.0 & thalcp < 2.5 & exangcp < 0.5,0.7293233082706767
comcp >= 0.5 & thalcp >= 1.5 & thalachcp >= 110.0,0.7293233082706767
thalcp >= 1.5 & cholcp < 272.5 & oldpeakcp < 2.3499999999999996,0.7293233082706767
agecp >= 37.5 & cholcp < 272.5,0.7293233082706767
thalcp >= 1.5 & thalachcp >= 110.0 & cholcp < 272.5,0.7293233082706767
thalcp < 2.5 & exangcp < 0.5 & oldpeakcp < 2.3499999999999996,0.7293233082706767
