rule,normalized_support
Glucosecp >= 99.5,0.6666666666666666
DiabetesPedigreeFunctioncp >= 0.3435 & Glucosecp >= 99.5,0.5
Glucosecp >= 128.5,0.5
Glucosecp >= 116.5,0.5
DiabetesPedigreeFunctioncp >= 0.3435,0.5
DiabetesPedigreeFunctioncp >= 0.4545 & Glucosecp >= 128.5,0.3333333333333333
SkinThicknesscp >= 13.5,0.3333333333333333
DiabetesPedigreeFunctioncp >= 0.4545,0.3333333333333333
SkinThicknesscp >= 13.5 & DiabetesPedigreeFunctioncp >= 0.3435,0.3333333333333333
SkinThicknesscp >= 13.5 & DiabetesPedigreeFunctioncp >= 0.3435 & Glucosecp >= 99.5,0.3333333333333333
SkinThicknesscp >= 13.5 & Glucosecp >= 99.5,0.3333333333333333
DiabetesPedigreeFunctioncp >= 0.3435 & Glucosecp >= 128.5,0.3333333333333333
BMIcp >= 26.35,0.3333333333333333
DiabetesPedigreeFunctioncp >= 0.4545 & Glucosecp >= 116.5,0.3333333333333333
DiabetesPedigreeFunctioncp >= 0.4545 & Glucosecp >= 99.5,0.3333333333333333
BMIcp >= 26.35 & SkinThicknesscp >= 13.5 & DiabetesPedigreeFunctioncp >= 0.3435 & Glucosecp >= 99.5,0.3333333333333333
BMIcp >= 26.35 & SkinThicknesscp >= 13.5 & Glucosecp >= 99.5,0.3333333333333333
Glucosecp >= 116.5 & DiabetesPedigreeFunctioncp >= 0.3435,0.3333333333333333
Glucosecp >= 128.5 & DiabetesPedigreeFunctioncp >= 0.3435,0.3333333333333333
BMIcp >= 26.35 & DiabetesPedigreeFunctioncp >= 0.3435,0.3333333333333333
BMIcp >= 26.35 & SkinThicknesscp >= 13.5 & DiabetesPedigreeFunctioncp >= 0.3435,0.3333333333333333
BMIcp >= 26.35 & DiabetesPedigreeFunctioncp >= 0.3435 & Glucosecp >= 99.5,0.3333333333333333
BMIcp >= 26.35 & Glucosecp >= 99.5,0.3333333333333333
BMIcp >= 26.35 & SkinThicknesscp >= 13.5,0.3333333333333333
